author,work,metronome,meter
Madhuchandas Vaiśvāmitra,b01_h005_06,wS.wSw.SwS.|SS.SS.wSwS.|SS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_07,S.S.wSw.SwS.|SSw.Sw.SwS.|S.S.SS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_08,wS.SS.wSwS.|wS.SS.wSwS.|wS.SSw.S.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_09,SwSS.wS.wS.|Sw.SS.wSwS.|SS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_10,S.S.SS.wS.wS.|wSS.Sw.Sww.|SSS.wwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_01,SSS.Sw.wwS.|wSS.ww.SwS.|SSS.SwS.ww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_02,SSw.Sw.SwS.|wS.wSwS.wS.|SS.SS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_03,SS.SS.wSwS.|SS.SS.wSwS.|w.wSw.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_04,ww.wS.wS.ww.|wS.SSw.SwS.|wSS.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_05,Sw.w.SwSwS.|wS.w.Sw.Sww.|wSw.SwS.ww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_06,SwSS.wS.ww.|SS.wSwS.wS.|wS.wSwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_07,SSw.S.w.SwS.|SSSS.wSwS.|SS.wSwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_08,wwSS.wSwS.|wS.wSw.Sww.|wS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_09,wS.wSw.S.ww.|wS.S.SwS.ww.|w.SS.SwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h006_10,wS.S.Sw.SwS.|wS.S.SwS.ww.|SS.wS.S.wwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_01,Sw.S.SwS.ww.|Sw.SSw.Sww.|SS.SS.wSww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_02,Sw.S.wwS.wS.|SSw.S.wSwS.|SS.SS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_03,SS.SSw.Sww.|S.SS.SwS.ww.|w.Sw.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_04,Sw.SSw.S.ww.|wSSwwSw.w.|Sw.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_05,SS.wS.wSww.|Sw.SS.wSwS.|wS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_06,w.S.wS.wS.wS.|SSSS.wS.ww.|SSw.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_07,SSSS.w.SwS.|SS.SSw.SwS.|w.SS.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_08,wS.SSw.SwS.|SS.wSw.SwS.|SSS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_09,w.SS.SwSwS.|wSww.wSww.|SS.SS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h007_10,SS.S.SwS.ww.|wSwS.wSww.|SSw.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_01,S.Sw.SwS.wS.|wSSS.wSwS.|SSw.SwS.ww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_02,w.Sw.SwSwS.|w.SS.wwSwS.|wSSS.w.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_03,SS.SSw.S.wS.|SS.wS.wSww.|wSw.S.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h008_04,wS.SSw.Sww.|SS.wS.wS.wS.|SSSw.wSwS|,gāyatrī
