(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h020_01_ekapadāvirāj
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h158_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_07_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h171_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h158_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h156_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h189_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h009_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h144_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_08_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h101_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h060_02_anuṣṭubh
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h144_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h060_04_anuṣṭubh
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h171_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h188_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h153_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h009_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h176_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h186_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h187_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h187_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h060_03_anuṣṭubh
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h187_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_08_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_08_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h158_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h009_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h060_01_anuṣṭubh
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h060_05_anuṣṭubh
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h156_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h062_10_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h188_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h101_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h175_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h153_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_09_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h189_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h009_07_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h171_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_09_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h153_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h153_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h186_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h009_04_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h118_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h156_01_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h175_02_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h144_03_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h158_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h119_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h057_06_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h127_07_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h033_07_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h153_05_gāyatrī
(1.0, 0.4980392156862745, 0.054901960784313725)	b10_h188_01_gāyatrī
